TicketID,CreatedDate,ClosedDate,Priority,Status,CategoryID,CategoryText,Department,AssignedAgentID,FirstResponseMinutes,ReopenedFlag
T0000629,2024-08-31 20:17:48.524794,,P2,In Progress,C008,Application Crash,Legal,A0047,30.0,0
T0000763,2024-09-13 19:16:48.524794,2024-09-15 23:29:19.292640,P4,Resolved,C008,Application Failure ,Marketing,A0026,83.0,0
T0000321,2024-08-01 00:46:48.524794,2024-08-02 15:52:23.790965,P3,Resolved,C006,Hardware Replace,Sales,A0044,111.0,0
T0001388,2024-11-19 22:10:48.524794,2024-11-20 04:27:21.821617,P2,Closed,C009,New Access,Engineering,A0053,6.0,0
T0004831,2025-11-14 21:35:48.524794,,P3,In Progress,C001,Email Issue,Finance,A0039,50.0,0
T0000910,2024-09-29 01:57:48.524794,2024-09-29 15:49:52.145473,P3,Closed,C003,WI-FI / LAN CONNECTIVITY,Legal,A0019,,0
T0001207,2024-10-31 09:54:48.524794,2024-11-01 18:17:18.252330,P4,Resolved,C006,HARDWARE REPLACE ,Marketing,A0053,5.0,0
T0001331,2024-11-12 20:54:48.524794,,P2,Open,C005,SOFTWARE INSTALLATION,Finance,A0001,128.0,0
T0001046,2024-10-13 18:24:48.524794,2024-10-14 03:58:56.256214,Medium,Closed,C005,Software Install ,Engineering,A0012,63.0,0
T0000015,2024-07-01 19:36:48.524794,2024-07-02 11:57:00.144022,P3,Resolved,C003,WIFI ISSUE,Operations,A0015,63.0,0
T0000354,2024-08-04 04:49:48.524794,2024-08-05 16:49:15.568351,P-4,Closed,C007,PRINTER / PERIPHERAL,Engineering,A0032,29.0,0
T0002118,2025-02-02 06:56:48.524794,2025-02-04 14:38:04.807500,P3,Resolved,C011,Slowness,Marketing,A0048,2.0,0
T0001018,2024-10-10 12:38:48.524794,2024-10-11 12:04:48.993542,P3 ,Closed,C001,Email Issue,Procurement,A0021,172.0,0
T0004928,2025-11-24 18:39:48.524794,2025-11-25 10:09:03.791072,P3,Closed,C009,New Access,Operations,A0030,24.0,0
T0004689,2025-10-27 18:40:48.524794,,P3,In Progress,C011,Performance / Slowness,Procurement,A0046,54.0,0
T0000257,2024-07-26 15:36:48.524794,,P-3,Pending User,C005,Software Install,Finance,A0009,15.0,0
T0000365,2024-08-04 20:58:48.524794,,P3,PENDING USER,C012,Teams Issue,Finance,A0027,11.0,0
T0000509,2024-08-17 20:24:48.524794,2024-08-18 19:17:31.596075,P3,Resolved,C006,REPLACE LAPTOP,Marketing,A0060,102.0,0
T0004522,2025-10-11 10:07:48.524794,,P3,Open,C004,Password Reset / Account Lock ,Engineering,A0039,2.0,0
T0003982,2025-08-15 03:06:48.524794,,P3,In Progress,C004,Pwd Reset,Operations,A0014,16.0,0
T0005061,2025-12-06 10:31:48.524794,,P1,Pending User,C010,Alert - Security,Sales,A0059,24.0,0
T0004360,2025-09-23 21:38:48.524794,2025-09-24 15:50:20.557105,P4,Closed,C012,TEAMS ISSUE ,Sales,A0008,64.0,0
T0003055,2025-05-11 15:31:48.524794,2025-05-12 03:45:27.163355,P2,Closed,C004,Password Reset / Account Lock,Engineering,A0025,72.0,0
T0004634,2025-10-22 16:25:48.524794,2025-10-23 13:18:59.985443,P3,Resolved,C001,Email Issue,Customer Support,A0001,,0
T0005146,2025-12-15 20:37:48.524794,,P3,In Progress,C001,Email Issue,Operations,A0012,46.0,0
T0003902,2025-08-07 14:46:48.524794,,P3,IN PROGRESS,C004,Pwd Reset,Engineering,A0015,74.0,0
T0003930,2025-08-10 00:32:48.524794,,P3,Pending User,C004,PASSWORD RESET / ACCOUNT LOCK,Operations,A0028,43.0,0
T0002949,2025-05-01 21:41:48.524794,,P3,Pending User,C012,MS Teams / Collaboration,Finance,A0027,169.0,0
T0000701,2024-09-07 19:15:48.524794,,Medium,OPEN,C001,OUTLOOK ISSUE,Operations,A0015,117.0,0
T0002764,2025-04-12 14:30:48.524794,2025-04-13 13:03:22.718073,P3,Resolved,C008,App Crash,Engineering,A0031,78.0,0
T0002680,2025-04-02 09:30:48.524794,,P3,Open,C004,Password Reset / Account Lock,Engineering,A0007,10.0,0
T0002014,2025-01-24 06:53:48.524794,2025-01-25 03:28:20.596376,P3,Closed,C005,Software Install,Engineering,A0054,62.0,0
T0005033,2025-12-04 04:47:48.524794,,P4,In Progress,C001,Email,HR,A0010,121.0,0
T0001694,2024-12-22 16:29:48.524794,,P2,In Progress,C011,Performance / Slowness,Legal,A0038,16.0,0
T0001497,2024-11-30 20:09:48.524794,,P3,Pending User,C001,EMAIL,IT,A0054,153.0,0
T0002572,2025-03-22 09:15:48.524794,2025-03-22 23:06:57.465989,P3,Closed,C012,Teams Issue,HR,A0044,17.0,0
T0004527,2025-10-11 14:41:48.524794,,P3,Pending User,C011,Performance Issue,Finance,A0014,34.0,1
T0001878,2025-01-09 04:30:48.524794,2025-01-10 20:26:49.435771,P3,Closed,C004,Pwd Reset,Procurement,A0033,246.0,0
T0004066,2025-08-24 22:52:48.524794,2025-08-26 18:01:16.311671,P3,Closed,C005,INSTALL SOFTWARE,Engineering,A0004,28.0,0
T0001860,2025-01-07 11:07:48.524794,2025-01-08 05:51:03.570399,P3,Closed,C010,Alert - Security,Marketing,A0009,91.0,0
T0001516,2024-12-02 13:16:48.524794,2024-12-03 01:56:19.066286,P3,Closed,C004,Pwd Reset,Sales,A0026,43.0,0
T0002213,2025-02-11 08:40:48.524794,2025-02-11 11:17:12.462544,P1,Closed,C009,New Access,Marketing,A0024,129.0,0
T0000638,2024-09-01 13:07:48.524794,2024-09-02 03:53:26.035525,P3,Resolved,C004,Account Locked,Engineering,A0042,37.0,0
T0000064,2024-07-06 06:05:48.524794,2024-07-08 15:35:39.426494,Medium,Resolved,C003,Wifi Issue,Procurement,A0044,35.0,0
T0004922,2025-11-24 03:54:48.524794,2025-11-25 19:39:49.047353,P4,Closed,C001,Outlook Issue,Sales,A0042,49.0,0
T0000112,2024-07-11 12:03:48.524794,2024-07-12 01:00:50.046360,P3,Closed,C002,VPN ,Engineering,A0038,8.0,0
T0002544,2025-03-19 01:35:48.524794,2025-03-19 21:22:21.839160,P2,Resolved,C006,Hardware Replace,HR,A0041,160.0,0
T0003725,2025-07-17 15:39:48.524794,2025-07-18 10:51:08.399512,P4,Closed,C004,Pwd Reset,Finance,A0058,69.0,0
T0000641,2024-09-01 17:12:48.524794,2024-09-02 00:27:41.574823,P3,Closed,C004,account locked,Sales,A0034,34.0,0
T0002775,2025-04-13 13:12:48.524794,,P3,In Progress,C009,Access Req,Marketing,A0003,28.0,0
T0004416,2025-09-29 15:21:48.524794,,P3,Open,C007,Peripheral,Cust Support,A0003,236.0,0
T0002769,2025-04-13 02:09:48.524794,,P3,Pending User,C011,Slowness,Human Resources,A0018,80.0,0
T0005002,2025-12-01 18:55:48.524794,,P3,In Progress,C010,Alert - Security ,Operations,A0038,85.0,0
T0002315,2025-02-21 21:24:48.524794,,P2,Open,C004,Account Locked,Operations,A0020,76.0,0
T0004203,2025-09-07 15:23:48.524794,,P3,In Progress,C008,Application Failure,Sales,A0035,2.0,0
T0000069,2024-07-06 16:46:48.524794,,P2,In Progress,C003,Wi-Fi / LAN Connectivity,Customer Support,A0017,5.0,1
T0003208,2025-05-26 21:38:48.524794,2025-05-26 23:54:10.684834,P2,Closed,C004,Password Reset / Account Lock,Engineering,A0037,130.0,0
T0000739,2024-09-11 11:22:48.524794,,P2,In Progress,C001,Outlook Issue,Sales,A0047,58.0,0
T0004403,2025-09-28 09:46:48.524794,,P3,Pending User,C011,Performance Issue,HR,A0060,13.0,0
T0005151,2025-12-16 07:25:48.524794,2025-12-17 18:18:03.552916,P3,Closed,C008,Application Failure,IT,A0029,63.0,0
T0004564,2025-10-15 03:03:48.524794,,P3,In Progress,C008,Application Crash,HR,A0016,28.0,0
T0002658,2025-03-31 08:36:48.524794,2025-03-31 10:24:18.208306,P2,Closed,C002,Remote Access,Customer Support,A0037,71.0,0
T0002479,2025-03-12 14:25:48.524794,2025-03-12 16:34:11.970975,P2,Resolved,C008,App Crash ,Legal,A0006,,0
T0000668,2024-09-04 05:14:48.524794,,P2,Pending User,C004,Pwd Reset,HR,A0032,91.0,0
T0004712,2025-10-31 10:40:48.524794,2025-10-31 16:28:04.709833,P2,Resolved,C005,Software Install,Engineering,A0018,7.0,0
T0000347,2024-08-03 05:28:48.524794,2024-08-03 12:39:57.825195,P3,Closed,C004,Pwd Reset,Finance,A0054,113.0,0
T0001981,2025-01-20 17:51:48.524794,2025-01-20 23:23:00.265819,High,Closed,C009,New Access,Customer Support,A0030,10.0,0
T0004183,2025-09-06 10:26:48.524794,,Medium,Pending User,C004,Account Locked,Sales,A0022,59.0,0
T0000391,2024-08-06 15:54:48.524794,2024-08-09 07:53:07.348901,P4,Closed,C002,VPN / Remote Access,Sales,A0054,6.0,0
T0001104,2024-10-20 03:37:48.524794,2024-10-20 11:46:35.319633,P3,Closed,C005,Software Install,Procurement,A0039,47.0,0
T0002951,2025-05-02 00:39:48.524794,,P3,In Progress,C007,Printer Issue,Sales,A0042,93.0,0
T0001248,2024-11-04 19:53:48.524794,2024-11-05 09:51:22.097048,P3,Closed,C003,LAN Connectivity,Sales,A0002,14.0,0
T0002635,2025-03-29 08:48:48.524794,2025-04-02 04:09:03.871484,P4,Resolved,C011,Performance / Slowness,Customer Support,A0052,57.0,0
T0003076,2025-05-14 08:14:48.524794,,P2,In progress,C005,SOFTWARE INSTALLATION,Sales,A0038,23.0,0
T0000807,2024-09-19 08:04:48.524794,2024-09-19 20:38:47.933126,P2,Resolved,C011,Performance / Slowness ,Marketing,A0034,44.0,0
T0000319,2024-07-31 17:58:48.524794,,P3,Open,C003,Wifi Issue,Engineering,A0057,27.0,0
T0000344,2024-08-03 00:06:48.524794,2024-08-03 04:45:15.600233,P2,Resolved,C004,ACCOUNT LOCKED,Operations,A0021,75.0,0
T0002722,2025-04-06 10:39:48.524794,,P2,In Progress,C008,Application Crash,Operations,A0034,35.0,0
T0004151,2025-09-03 15:12:48.524794,2025-09-04 05:17:29.534399,P3,Closed,C006,Hardware Replacement ,Engineering,A0045,152.0,0
T0004752,2025-11-04 16:55:48.524794,2025-11-05 08:56:40.360341,P3,Resolved,C010,Security Incident,IT,A0040,47.0,0
T0003800,2025-07-27 17:43:48.524794,2025-07-28 03:53:04.689036,P3,Closed,C003,WI-FI / LAN CONNECTIVITY,Operations,A0005,4.0,0
T0001426,2024-11-23 18:32:48.524794,,P3,Open,C002,Remote Access,Operations,A0024,37.0,0
T0000215,2024-07-21 08:16:48.524794,,P2,In Progress,C010,Security Alert,Sales,A0014,96.0,0
T0001358,2024-11-16 07:16:48.524794,,P3,Open,C006,Replace Laptop,Sales,A0004,,0
T0001202,2024-10-30 22:06:48.524794,,Low,In Progress,C006,Hardware Replacement,Engineering,A0027,55.0,0
T0002798,2025-04-16 10:54:48.524794,2025-04-21 13:02:03.112770,P4,Closed,C005,Software Installation,IT,A0019,48.0,0
T0002511,2025-03-16 06:44:48.524794,2025-03-21 17:14:10.297505,P4,Closed,C003,Wi-Fi / LAN Connectivity,Sales,A0012,22.0,0
T0000887,2024-09-27 07:05:48.524794,,P4,Open,C001,Outlook Issue,HR,A0014,36.0,0
T0000458,2024-08-12 16:29:48.524794,2024-08-13 15:20:03.851371,P3,Closed,C011,SLOWNESS,IT,A0050,9.0,0
T0004462,2025-10-05 14:55:48.524794,2025-10-07 01:52:02.937408,P3 ,Resolved,C004,pwd reset,Finance,A0026,35.0,0
T0004206,2025-09-07 21:42:48.524794,,P3,In Progress,C010,security incident,IT,A0040,39.0,0
T0003115,2025-05-17 20:32:48.524794,2025-05-19 06:13:59.188118,P3,Closed,C003,wi-fi / lan connectivity,HR,A0037,41.0,0
T0001531,2024-12-04 20:31:48.524794,,P2,In Progress,C003,Wi-Fi / LAN Connectivity,Operations,A0028,46.0,0
T0003087,2025-05-15 17:58:48.524794,2025-05-17 10:03:46.350481,Medium,Resolved,C009,Access Request,Procurement,A0055,46.0,0
T0001407,2024-11-22 06:12:48.524794,,P3,In Progress,C001,Email,Operations,A0027,82.0,0
T0002419,2025-03-04 20:20:48.524794,,P2,In Progress,C009,New Access,IT,A0060,6.0,0
T0004026,2025-08-19 20:21:48.524794,,P4,In Progress,C008,App Crash,Engineering,A0009,76.0,0
T0003124,2025-05-18 14:19:48.524794,,P4,Open,C003,Wi-Fi / LAN Connectivity,Procurement,A0010,46.0,0
T0003391,2025-06-14 21:19:48.524794,2025-06-15 06:32:05.480209,P3,Closed,C004,Pwd Reset,Operations,A0054,16.0,1
T0003241,2025-05-30 02:23:48.524794,,P1,Open,C006,Hardware Replace,Engineering,A0018,3.0,1
T0001856,2025-01-07 04:48:48.524794,,P4,In Progress,C007,Peripheral,Procurement,A0026,151.0,0
T0000432,2024-08-10 14:21:48.524794,,P2,Open,C009,ACCESS REQ,Marketing,A0055,129.0,0
T0004435,2025-10-01 20:52:48.524794,2025-10-02 07:12:31.333614,P3,Resolved,C009,Access Request,Legal,A0052,16.0,0
T0001996,2025-01-22 10:48:48.524794,2025-01-23 06:13:04.504656,P4,Closed,C003,Wi-Fi / LAN Connectivity,Sales,A0014,38.0,0
T0002129,2025-02-03 11:36:48.524794,,P4,In Progress,C005,Software Installation,Sales,A0034,61.0,0
T0002288,2025-02-18 20:03:48.524794,2025-02-20 00:28:01.833506,P3,Closed,C012,Teams Issue,Engineering,A0053,35.0,0
T0000845,2024-09-23 16:21:48.524794,,P2,In Progress,C003,Wi-Fi / LAN Connectivity,HR,A0024,26.0,0
T0002803,2025-04-17 03:32:48.524794,2025-04-17 04:36:45.801119,P1,Closed,C005,Install Software,Marketing,A0043,2.0,0
T0000942,2024-10-02 21:08:48.524794,2024-10-03 17:52:20.473700,Medium,Resolved,C005,SOFTWARE INSTALLATION,Sales,A0016,26.0,0
T0005076,2025-12-08 11:25:48.524794,,Medium,Open,C007,Peripheral,Marketing,A0025,20.0,0
T0002922,2025-04-28 18:10:48.524794,,P2,In Progress,C003,Wi-Fi / LAN Connectivity,Operations,A0047,79.0,0
T0003445,2025-06-20 14:33:48.524794,2025-06-22 18:48:53.482312,P4,Closed,C008,App Crash,HR,A0022,59.0,0
T0002394,2025-03-02 08:59:48.524794,,P4,Open,C004,ACCOUNT LOCKED,Finance,A0007,4.0,0
T0002984,2025-05-05 16:06:48.524794,2025-05-05 16:56:51.795592,P1,Closed,C011,Slowness,Engineering,A0002,,0
T0000542,2024-08-21 16:32:48.524794,2024-08-21 19:50:22.800869,P1,Closed,C007,PRINTER ISSUE,Marketing,A0050,83.0,0
T0004976,2025-11-28 22:32:48.524794,,P4,In Progress,C008,Application Crash,Sales,A0048,88.0,0
T0000079,2024-07-07 17:10:48.524794,,P2,Pending User,C009,New Access,Finance,A0022,201.0,0
T0000410,2024-08-08 04:07:48.524794,,P3,Pending User,C001,email,HR,A0038,374.0,0
T0005027,2025-12-03 15:39:48.524794,2025-12-04 07:14:21.627408,P3,Closed,C011,Slowness,Engineering,A0007,114.0,0
T0003683,2025-07-13 17:08:48.524794,2025-07-13 22:46:35.031390,P3,Resolved,C004,PWD RESET,Engineering,A0002,99.0,0
T0004857,2025-11-17 10:33:48.524794,2025-11-20 00:37:53.184853,P4,Resolved,C004,Pwd Reset,Operations,A0039,25.0,1
T0004167,2025-09-05 01:29:48.524794,2025-09-05 19:09:54.299173,P4,Resolved,C012,MS Teams / Collaboration,Sales,A0042,52.0,0
T0004502,2025-10-09 12:08:48.524794,2025-10-09 13:25:42.558087,P1,Closed,C004,ACCOUNT LOCKED,Procurement,A0049,,0
T0002057,2025-01-28 04:23:48.524794,2025-01-28 07:38:48.145375,P1,Resolved,C002,vpn / remote access,HR,A0004,43.0,0
T0002859,2025-04-21 23:12:48.524794,2025-04-22 00:14:39.511074,P1,Resolved,C003,Wi-Fi / LAN Connectivity,Operations,A0047,17.0,1
T0001111,2024-10-20 18:55:48.524794,2024-10-21 05:33:47.483124,P3,Closed,C012,Collaboration Tool,Engineering,A0050,61.0,0
T0002248,2025-02-15 18:35:48.524794,2025-02-16 17:02:05.347377,P3,Resolved,C003,WI-FI / LAN CONNECTIVITY,Sales,A0026,60.0,0
T0000606,2024-08-28 19:34:48.524794,2024-08-29 02:56:05.864786,P3,Closed,C011,PERFORMANCE ISSUE,IT,A0037,12.0,0
T0003778,2025-07-24 21:00:48.524794,,P4,In Progress,C004,Password Reset / Account Lock,Engineering,A0051,81.0,0
T0000219,2024-07-22 00:07:48.524794,2024-07-24 10:44:04.740675,P4,Resolved,C005,software install,IT,A0044,25.0,0
T0001470,2024-11-28 01:55:48.524794,,P-3,Pending User,C004,Account Locked,HR,A0054,12.0,0
T0003028,2025-05-09 10:10:48.524794,,P3,Pending User,C009,Access Req,Sales,A0031,40.0,1
T0005070,2025-12-07 21:19:48.524794,2025-12-08 15:55:21.859605,P3,Closed,C002,VPN,Engineering,A0056,16.0,0
T0003140,2025-05-20 01:09:48.524794,2025-05-20 03:02:47.335968,P1,Resolved,C001,EMAIL,CustomerService,A0035,15.0,0
T0001971,2025-01-19 06:56:48.524794,2025-01-19 13:41:04.800576,P3,Closed,C010,security alert,Sales,A0003,11.0,0
T0003632,2025-07-08 17:25:48.524794,2025-07-09 07:11:47.636187,P3,Resolved,C012,COLLABORATION TOOL,Operations,A0027,43.0,0
T0002341,2025-02-24 16:48:48.524794,2025-02-25 16:01:02.049483,P3,Closed,C010,Alert - Security,HR,A0015,155.0,0
T0003312,2025-06-06 01:11:48.524794,,P2,Open,C008,Application Crash,Customer Support,A0024,37.0,0
T0004219,2025-09-09 07:43:48.524794,,P3,Open,C011,PERFORMANCE / SLOWNESS,Engineering,A0021,1.0,0
T0004854,2025-11-17 02:38:48.524794,2025-11-17 22:31:20.081697,P3,Closed,C012,Teams Issue,Operations,A0021,94.0,0
T0003417,2025-06-18 01:36:48.524794,2025-06-18 05:50:17.798162,P2,Closed,C010,Security Alert,Engineering,A0014,20.0,0
T0002827,2025-04-19 01:46:48.524794,,P3,In progress,C007,Printer / Peripheral,Engineering,A0042,100.0,0
T0002944,2025-05-01 04:55:48.524794,2025-05-07 01:22:26.874970,P4,Closed,C009,access request,IT,A0011,110.0,0
T0002278,2025-02-18 05:30:48.524794,2025-02-18 20:29:25.910622,P4,Closed,C011,slowness,Engineering,A0008,33.0,0
T0001082,2024-10-17 20:18:48.524794,,P-2,Open,C002,VPN,Marketing,A0002,12.0,0
T0002198,2025-02-10 14:29:48.524794,2025-02-10 20:05:39.241408,P-3,Closed,C008,Application Crash,Operations,A0005,,0
T0003752,2025-07-21 09:50:48.524794,,P1,In Progress,C002,Remote Access,IT,A0002,20.0,0
T0004424,2025-09-30 12:49:48.524794,2025-10-02 09:06:29.984461,P4,Resolved,C011,Performance Issue,Sales,A0002,123.0,0
T0001480,2024-11-28 20:30:48.524794,2024-11-29 19:39:12.806241,P3,Closed,C004,Account Locked ,Customer Support,A0002,30.0,0
T0002538,2025-03-18 12:09:48.524794,2025-03-20 21:23:32.427899,P3,resolved,C007,Peripheral ,Operations,A0009,82.0,0
T0000698,2024-09-07 11:50:48.524794,2024-09-10 00:19:47.454079,P4,Closed,C004,Account Locked,HR,A0030,99.0,0
T0001257,2024-11-05 21:23:48.524794,2024-11-08 00:40:50.418095,P3,Closed,C009,New Access,Finance,A0044,1.0,0
T0001465,2024-11-27 08:45:48.524794,,P3,Pending User,C009,Access Request,Sales,A0053,146.0,0
T0004216,2025-09-09 00:03:48.524794,2025-09-10 09:44:11.850136,P3 ,Closed,C012,Collaboration Tool ,Marketing,A0047,24.0,0
T0001080,2024-10-17 18:00:48.524794,2024-10-18 01:43:43.774249,P2,Closed,C009,Access Request,Sales,A0010,4.0,0
T0000327,2024-08-01 17:40:48.524794,2024-08-01 22:11:48.793661,High,Resolved,C005,Software Install,HR,A0031,4.0,0
T0004512,2025-10-10 10:10:48.524794,,P3,In Progress,C004,password reset / account lock,Marketing,A0025,298.0,0
T0002864,2025-04-22 11:37:48.524794,,P2,Open,C008,App Crash,Finance,A0036,40.0,1
T0000307,2024-07-30 16:26:48.524794,2024-07-31 15:31:29.952445,P3,Closed,C009,Access Req,Finance,A0047,58.0,0
T0003600,2025-07-06 00:19:48.524794,2025-07-06 16:19:34.375433,P2,Closed,C011,Performance Issue,HR,A0040,45.0,1
T0004036,2025-08-21 01:15:48.524794,,P4,Pending User,C002,VPN,Finance,A0017,36.0,0
T0003490,2025-06-24 20:24:48.524794,2025-06-25 11:27:04.734560,P4,Closed,C004,PWD RESET,Sales,A0012,116.0,0
T0005162,2025-12-17 07:42:48.524794,2025-12-17 17:26:45.607830,High,Resolved,C005,Software Installation,Sales,A0009,12.0,1
T0002481,2025-03-12 15:08:48.524794,2025-03-12 21:52:12.045681,P3,Resolved,C003,Wi-Fi / LAN Connectivity,Customer Support,A0037,,0
T0004848,2025-11-16 07:25:48.524794,,P2,Pending User,C004,Account Locked,Finance,A0029,8.0,1
