TicketID,Status,ChangeDate,ActionType
T0002310,Open,2025-02-21 14:24:48.524794,Created
T0002701,Closed,2025-04-05 07:08:15.240202,Closed
T0004807,Open,2025-11-12 07:26:48.524794,Assigned
T0002300,Open,2025-02-20 09:19:48.524794,Assigned
T0000879,Closed,2024-09-28 01:23:36.613053,Closed
T0002667,Resolved,2025-04-03 08:27:29.242354,Status Change
T0000240,Open,2024-07-24 06:18:48.524794,Assigned
T0004903,Open,2025-11-21 20:50:48.524794,Created
T0003839,Open,2025-07-31 09:58:48.524794,Created
T0004821,Closed,2025-11-14 08:28:48.865382,CLOSED
T0003585,Pending User,2025-07-05 13:52:12.888032,Status Change
T0003855,Open,2025-08-02 00:07:48.524794,Created
T0002019,In Progress,2025-01-27 13:10:19.316753,Status Change
T0003130,Open,2025-05-19 06:36:48.524794,Assigned
T0000386,Closed,2024-08-06 19:32:35.995906,Closed
T0002944,Open,2025-05-01 04:55:48.524794,Created
T0000125,Open,2024-07-12 21:21:48.524794,Assigned
T0000063,Open,2024-07-06 04:42:48.524794,Assigned
T0004732,Open,2025-11-02 14:38:48.524794,Assigned
T0003532,Open,2025-06-28 10:17:48.524794,Created
T0001033,Pending User,2024-10-14 15:32:57.479200,Status Change
T0002488,In Progress,2025-03-16 01:13:44.891538,Reassigned
T0003137,Closed,2025-05-24 16:22:48.623179,Closed
T0001891,Open,2025-01-10 12:03:48.524794,Assigned
T0001009,Open,2024-10-09 02:08:48.524794,Created
T0004288,Open,2025-09-16 11:47:48.524794,Created
T0002925,In Progress,2025-04-30 01:53:33.420814,Status Change
T0004880,In Progress,2025-11-23 00:48:46.358603,Reassigned
T0002825,In Progress,2025-04-19 06:25:42.497427,Reassigned
T0001657,In Progress,2024-12-19 00:04:02.465139,Status Change
T0004163,In Progress,2025-09-06 03:54:01.140770,Status Change
T0003304,Closed,2025-06-05 21:58:19.896524,Closed
T0004795,Open,2025-11-10 21:20:48.524794,Assigned
T0003118,In Progress,2025-05-18 12:19:16.134457,Status Change
T0000096,Open,2024-07-09 23:52:48.524794,Assigned
T0005034,Closed,2025-12-06 05:54:35.244039,Closed
T0000172,In progress,2024-07-19 01:29:37.946636,Status Change
T0002282,Closed,2025-02-22 21:03:54.145832,Closed
T0002894,Open,2025-04-25 21:33:48.524794,Created
T0004626,Open,2025-10-21 19:52:48.524794,Assigned
T0004908,Open,2025-11-30 08:34:35.956882,Reopened
T0003956,Open,2025-08-12 21:32:48.524794,Created
T0001334,Resolved,2024-11-14 06:07:05.972653,Status Change
T0000977,Open,2024-10-05 21:34:48.524794,Created
T0003727,Resolved,2025-07-18 23:05:50.301222,Status Change
T0004616,Open,2025-10-20 15:27:48.524794,Assigned
T0005045,in progress,2025-12-05 10:55:10.142450,Status Change
T0000224,Open,2024-07-22 05:58:48.524794,Created
T0001057,Closed,2024-10-16 17:05:15.083752,Closed
T0005018,Open,2025-12-03 02:31:48.524794,Created
T0001531,In Progress,2024-12-06 19:35:24.778357,Status Change
T0003662,Closed,2025-07-13 08:13:25.896940,Closed
T0004576,Closed,2025-10-16 11:34:24.182101,Closed
T0002090,Open,2025-01-30 13:35:48.524794,Created
T0004765,Open,2025-11-06 11:01:48.524794,Created
T0001386,Resolved,2024-11-20 02:30:16.068290,Status Change
T0002076,In Progress,2025-02-01 09:50:33.592501,Status Change
T0000707,Resolved,2024-09-09 14:30:15.118842,Status Change
T0004211,Resolved,2025-09-09 14:20:18.260376,Status Change
T0000070,Pending User,2024-07-07 13:45:44.258202,Status Change
T0004176,Open,2025-09-05 23:33:48.524794,Created
T0003047,Open,2025-05-10 15:34:48.524794,Assigned
T0001453,Closed,2024-11-28 02:58:19.837723,Closed
T0004783,Pending User,2025-11-09 07:50:31.342637,Status Change
T0004567,Resolved,2025-10-17 13:17:46.937597,Status Change
T0003726,In Progress,2025-07-18 15:48:32.755739,Status Change
T0002766,Pending User,2025-04-14 17:39:56.853063,Status Change
T0002597,Open,2025-03-25 10:54:48.524794,Assigned
T0001370,In Progress,2024-11-19 00:09:26.082519,Status Change
T0000618,Resolved,2024-09-01 08:42:52.654663,Status Change
T0001524,Open,2024-12-03 21:22:48.524794,Created
T0001304,In Progress,2024-11-10 15:47:40.693651,Status Change
T0003992,In Progress,2025-08-19 00:13:07.454574,Status Change
T0002048,Open,2025-01-27 15:07:48.524794,Created
T0000117,Open,2024-07-12 03:58:48.524794,Created
T0000085,Closed,2024-07-09 03:02:14.504089,Closed
T0000417,Open,2024-08-09 09:48:48.524794,Assigned
T0004447,Closed,2025-10-05 17:32:39.679297,Closed
T0005153,Resolved,2025-12-16 20:08:51.754827,Status Change
T0002186,Resolved,2025-02-12 01:51:25.470536,Status Change
T0002049,pending user,2025-01-29 10:00:26.511877,Status Change
T0000478,Pending User,2024-08-15 00:07:58.435256,Status Change
T0001678,Open,2024-12-20 22:50:48.524794,Created
T0002576,In Progress,2025-03-23 16:05:24.938506,Status Change
T0002677,Closed,2025-04-02 13:51:29.742805,Closed
T0005053,Closed,2025-12-05 15:39:39.957936,Closed
T0002389,OPEN,2025-03-02 00:59:48.524794,Assigned
T0001938,Resolved,2025-01-17 10:58:07.135218,Status Change
T0000884,Open,2024-09-27 01:27:48.524794,Created
T0004323,Resolved,2025-09-20 14:52:28.723655,Status Change
T0000722,In Progress,2024-09-10 02:48:33.853162,Status Change
T0004790,Open,2025-11-09 16:55:48.524794,Created
T0003621,Open,2025-07-08 08:11:48.524794,Assigned
T0003695,Open,2025-07-15 01:59:48.524794,Created
T0003240,In Progress,2025-05-31 10:43:29.394905,STATUS CHANGE
T0002131,In Progress,2025-02-04 20:07:49.886578,Status Change
T0001207,Closed,2024-11-01 18:17:18.252330,Closed
T0004146,Closed,2025-09-04 10:18:03.043535,CLOSED
T0002169,Resolved,2025-02-08 13:59:50.850152,Status Change
T0004197,Resolved,2025-09-07 12:12:18.150402,Status Change
T0002375,Closed,2025-02-28 14:53:57.918589,Closed 
T0004728,Closed,2025-11-03 07:08:15.831756,Closed
T0002635,Closed,2025-04-02 04:09:03.871484,Closed
T0005006,In Progress,2025-12-03 19:38:47.265418,Status Change
T0004302,Resolved,2025-09-17 15:44:43.650297,Status Change
T0000559,Open,2024-08-23 14:34:48.524794,Assigned
T0000009,Resolved,2024-07-01 10:47:31.571685,Status Change
T0000604,In Progress,2024-08-28 20:38:35.335324,Status Change
T0001506,Open,2024-12-01 15:57:48.524794,Created
T0002568,Closed,2025-03-25 10:20:34.675116,Closed
T0003902,Pending_User,2025-08-08 18:12:42.194830,Status Change
T0000546,Resolved,2024-08-22 21:27:29.255737,Status Change
T0004394,Open,2025-09-27 06:17:48.524794,Assigned 
T0000700,In Progress,2024-09-09 07:30:25.253045,Status Change
T0001768,Open,2024-12-30 13:04:48.524794,Assigned
T0004645,Open,2025-10-23 12:47:48.524794,Assigned
T0001152,In Progress,2024-10-27 21:51:40.822344,Status Change
T0001015,Closed,2024-10-12 14:02:07.353023,Closed
T0000201,Closed,2024-07-21 00:21:18.669140,Closed
T0001535,Open,2024-12-05 00:56:48.524794,Created
T0003719,Open,2025-07-17 08:58:48.524794,Assigned
T0004839,Open,2025-11-15 10:28:48.524794,Created
T0004925,OPEN,2025-11-24 13:07:48.524794,Assigned
T0002855,Open,2025-04-21 16:50:48.524794,Created
T0003724,Open,2025-07-18 16:31:40.158707,Reopened
T0003596,Pending User,2025-07-06 15:56:52.557935,Status Change
T0004232,Resolved,2025-09-12 00:37:18.524904,Status Change
T0002780,Open,2025-04-14 05:13:48.524794,Created
T0002558,Open,2025-03-20 10:08:48.524794,Created
T0001677,In Progress,2024-12-22 18:24:42.477397,Status Change
T0003337,In Progress,2025-06-10 03:14:06.536055,Reassigned
T0001421,In Progress,2024-11-24 10:24:17.906826,Status Change
T0002125,In Progress,2025-02-05 13:39:15.397571,Status Change
T0005001,Open,2025-12-01 18:57:48.524794,Assigned
T0004034,Pending User,2025-08-22 02:10:25.967223,Status Change
T0000026,Pending User,2024-07-04 07:36:31.887814,Status Change
T0000886,Resolved,2024-09-27 17:27:00.559260,Status Change
T0001359,Resolved,2024-11-18 23:34:35.754966,Status Change
T0004940,Open,2025-11-25 08:39:48.524794,Created
T0003890,Pending User,2025-08-06 09:05:32.597903,Status Change
T0000928,Open,2024-10-01 08:46:48.524794,Assigned
T0001208,Closed,2024-11-02 05:39:02.307938,Closed
T0000134,Resolved,2024-07-16 01:55:18.671116,Status Change
T0002436,Open,2025-03-06 22:51:48.524794,Created
T0002366,In Progress,2025-03-02 16:13:24.230379,Reassigned
T0003487,Open,2025-06-24 15:40:48.524794,Created
T0000615,In Progress,2024-08-30 13:48:42.757850,Status Change
T0001126,Open,2024-10-22 01:26:48.524794,Created
T0001927,Open,2025-01-17 17:03:12.906550,Reopened
T0001569,Open,2024-12-08 11:30:48.524794,Assigned
T0002860,Closed,2025-04-24 01:35:42.106116,Closed
T0000632,Open,2024-09-01 00:47:48.524794,Created
T0002178,Open,2025-02-08 13:23:48.524794,Created
T0000275,Open,2024-07-27 14:52:48.524794,Created
T0004463,Resolved,2025-10-06 20:01:28.027316,Status Change
T0000962,Open,2024-10-05 04:57:48.524794,Assigned
T0004742,Open,2025-11-02 22:11:48.524794,Created
T0000455,Pending User,2024-08-15 17:34:24.875155,Status Change
T0002941,IN PROGRESS,2025-05-02 07:31:43.517789,Status Change
T0005172,Pending User,2025-12-20 03:27:44.237945,Status Change
T0003246,Closed,2025-06-01 18:53:56.801822,Closed
T0001342,Pending User,2024-11-16 01:52:28.195507,Status Change
T0002895,Open,2025-04-26 01:06:48.524794,Created
T0000128,Resolved,2024-07-13 10:09:15.921166,Status Change
T0001957,Open,2025-01-18 00:29:48.524794,Assigned
T0002813,CLOSED,2025-04-17 21:03:22.553062,Closed
T0002371,Open,2025-02-27 20:23:48.524794,Created
T0004903,Closed,2025-11-21 23:57:48.122956,Closed
T0000477,Open,2024-08-14 10:41:48.524794,Assigned
T0002614,Closed,2025-03-27 02:41:48.145091,Closed
T0001481,Open,2024-11-28 22:28:48.524794,created
T0001427,Resolved,2024-11-24 22:03:41.801403,Status Change
T0002680,Open,2025-04-02 09:30:48.524794,CREATED
T0003704,Open,2025-07-15 23:54:48.524794,Created
T0001816,Resolved,2025-01-05 08:49:15.118143,Status Change
T0003463,Resolved,2025-06-22 06:36:27.984468,Status Change
T0002957,In Progress,2025-05-03 14:19:50.476716,Status Change
T0003729,Open,2025-07-19 02:58:48.524794,Assigned
T0003427,Open,2025-06-19 05:26:48.524794,Assigned
T0000939,In Progress,2024-10-03 08:14:59.339948,Status Change
T0002493,Open,2025-03-13 14:56:48.524794,Created
T0002199,Open,2025-02-10 15:37:48.524794,Created
T0000434,Open,2024-08-10 22:07:48.524794,Created
T0004583,Open,2025-10-17 00:01:48.524794,Assigned
T0004310,Open,2025-09-18 13:37:48.524794,Assigned
T0003212,Open,2025-05-27 06:35:48.524794,Assigned
T0004795,Open,2025-11-10 20:41:48.524794,created 
T0003364,Resolved,2025-06-13 15:15:31.800273,Status Change
T0002589,In progress,2025-03-27 22:21:34.062128,Status Change
T0003930,Pending User,2025-08-11 22:16:27.638384,Status Change
T0001812,In Progress,2025-01-05 05:44:10.579020,Status Change
T0002096,In Progress,2025-01-31 19:09:11.635557,Status Change
T0004040,Pending_User,2025-08-23 03:50:26.029633,Status Change
T0001028,Closed,2024-10-12 08:10:06.384537,Closed
T0004376,Open,2025-09-25 13:27:48.524794,Created
T0004137,Closed,2025-09-02 22:16:48.141295,Closed
T0004006,Open,2025-08-17 11:22:48.524794,Created
T0003625,Open,2025-07-08 09:14:48.524794,Created
T0004467,Open,2025-10-05 23:18:48.524794,Created
T0002276,Open,2025-02-18 01:41:48.524794,Assigned
T0000195,Resolved,2024-07-21 10:40:11.359851,Status Change
T0000869,In Progress,2024-09-26 20:59:46.778489,Status Change
T0004118,IN PROGRESS,2025-09-01 09:15:26.072775,Status Change
T0000763,In Progress,2024-09-15 03:23:19.911673,Status Change
T0000731,Resolved,2024-09-11 17:30:48.852634,Status Change
T0001577,Resolved,2024-12-09 16:58:58.655882,Status Change
T0002741,Closed,2025-04-08 23:15:24.523148,Closed
T0004139,Open,2025-09-02 17:04:48.524794,Assigned
T0001627,Resolved,2024-12-17 03:59:32.449542,Status Change
T0002453,Resolved,2025-03-10 10:06:23.646479,Status Change
T0000898,Open,2024-09-28 00:01:48.524794,Created
T0003742,Closed,2025-07-20 22:48:13.141263,Closed
T0003374,Open,2025-06-13 06:41:48.524794,Assigned
T0001392,Open,2024-11-20 19:47:48.524794,Assigned
T0004993,Resolved,2025-12-01 21:04:11.506494,Status Change
T0003134,Pending_User,2025-05-20 22:17:52.033594,Status Change
T0000648,Resolved,2024-09-02 16:23:52.843921,Status Change
T0002322,In Progress,2025-02-25 02:37:47.137572,Status Change
T0000954,Open,2024-10-04 07:17:48.524794,Created
T0003928,Open,2025-08-09 23:07:48.524794,Assigned
T0000095,Resolved,2024-07-12 14:11:34.348670,Status Change
T0001607,Open,2024-12-12 11:37:48.524794,Assigned
T0001304,Open,2024-11-10 07:55:48.524794,Created
T0004669,Open,2025-10-26 05:02:48.524794,Assigned
T0003267,Open,2025-06-01 09:02:48.524794,Created
T0001337,Pending User,2024-11-18 07:09:30.712719,Status Change
T0003875,In Progress,2025-08-07 08:04:22.600048,Reassigned
T0002856,Pending User,2025-04-22 20:45:01.577041,Status Change
T0003289,Closed,2025-06-03 22:14:26.540419,Closed
T0000085,Open,2024-07-08 12:31:48.524794,Assigned
T0001054,Open,2024-10-15 04:13:48.524794,Assigned
T0003157,In progress,2025-05-23 03:54:47.440109,Status Change
T0004729,In Progress,2025-11-05 09:37:49.379541,Status Change
T0001136,Open,2024-10-23 14:57:48.524794,Created
T0002963,In Progress,2025-05-05 12:42:07.734058,Status Change
T0002179,Open,2025-02-08 15:34:48.524794,Assigned
T0004556,Pending User,2025-10-15 09:17:46.642363,Status Change
T0002032,Resolved,2025-01-28 04:06:19.074716,Status Change
T0000576,Pending User,2024-08-27 00:03:02.189927,Status Change
T0003319,Resolved,2025-06-09 10:59:09.876173,Status Change
T0002792,Open,2025-04-15 19:51:48.524794,Created
T0000723,Open,2024-09-09 18:01:48.524794,Created
T0004188,Closed,2025-09-09 08:29:27.000680,Closed
T0004749,In Progress,2025-11-05 10:09:11.219631,Status Change
T0003357,PENDING USER,2025-06-13 07:01:28.777985,Status Change
T0004621,Open,2025-10-21 02:14:48.524794,Created
T0002142,Open,2025-02-05 02:53:48.524794,Created
T0002194,In Progress,2025-02-11 23:20:50.956452,Reassigned
T0001126,Pending User,2024-10-24 05:01:05.295914,Status Change
T0002283,In Progress,2025-02-21 01:56:10.070596,Status Change
T0000405,Closed,2024-08-09 00:47:10.353030,Closed
T0000503,Open,2024-08-16 16:23:48.524794,Created
T0004937,Open,2025-11-25 07:46:48.524794,Created
T0003840,Pending_User,2025-07-31 17:18:16.385147,Status Change
T0003164,open,2025-05-22 14:54:48.524794,Assigned
T0004513,Closed,2025-10-11 13:31:46.924603,CLOSED
T0002246,Resolved,2025-02-16 11:25:40.903750,Status Change
T0003014,Open,2025-05-08 00:39:48.524794,Assigned
T0004741,Open,2025-11-02 22:01:48.524794,Created
T0000734,Closed,2024-09-13 12:11:37.796233,Closed
T0001757,Open,2024-12-29 05:16:48.524794,Created
T0000658,Open,2024-09-03 02:28:48.524794,Created
T0000069,Open,2024-07-06 16:46:48.524794,Created
T0005064,Open,2025-12-07 00:25:48.524794,Created
T0003739,Open,2025-07-23 21:02:44.800859,Reopened
T0004025,Pending User,2025-08-21 02:28:32.143898,Status Change
T0000586,Open,2024-08-26 05:34:48.524794,Assigned
T0001314,Closed,2024-11-11 10:39:40.246058,Closed
T0000410,Open,2024-08-08 04:16:48.524794,Assigned
T0003776,PENDING USER,2025-07-26 04:27:58.581820,Status Change
T0002558,Open,2025-03-20 12:57:48.524794,Assigned
T0000112,Open,2024-07-11 12:16:48.524794,Assigned
T0002645,In Progress,2025-03-30 13:29:08.630905,Status Change
T0003647,Pending User,2025-07-11 17:04:54.986816,Status Change
T0000455,Closed,2024-08-13 02:08:32.412192,Closed
T0003791,Open,2025-07-26 14:01:48.524794,Created
T0001928,In Progress,2025-01-15 18:33:25.229099,Status Change
T0002816,Resolved,2025-04-18 04:44:23.823696,STATUS CHANGE
T0003929,In Progress,2025-08-10 22:13:46.256179,Status Change
T0001185,Open,2024-10-29 11:33:48.524794,Created
T0000541,Open,2024-08-21 15:00:48.524794,Assigned
T0003669,Closed,2025-07-15 05:04:54.004701,Closed
T0004994,In Progress,2025-12-04 20:05:47.079003,Reassigned
T0001644,Resolved,2024-12-17 02:43:32.885869,Status Change
T0000299,Open,2024-07-30 06:07:48.524794,Assigned
T0004855,In Progress,2025-11-19 18:32:09.870966,Reassigned
T0004052,Pending User,2025-08-23 22:59:43.085057,Status Change
T0001147,Closed,2024-10-25 20:38:11.934357,Closed
T0002072,Resolved,2025-01-30 00:37:29.009609,Status Change
T0002552,Open,2025-03-19 21:29:48.524794,Created
T0000775,Closed,2024-09-15 06:26:26.389125,Closed
T0002971,Open,2025-05-04 09:29:48.524794,Assigned
T0002926,Closed,2025-05-02 05:05:33.790735,Closed
T0000080,Open,2024-07-07 22:13:48.524794,Assigned
T0004540,Closed,2025-10-14 21:09:43.174555,Closed
T0003576,Pending User,2025-07-05 04:51:58.222658,Status Change
T0002717,In Progress,2025-04-06 00:10:52.760641,Status Change
T0001055,In Progress,2024-10-17 14:12:05.401357,status change
T0004087,Open,2025-08-26 18:51:48.524794,Created
T0002523,Open,2025-03-17 12:01:48.524794,Created
T0004463,Open,2025-10-07 12:09:10.847718,Reopened
T0004814,Closed,2025-11-15 11:51:54.305834,Closed
T0000636,Resolved,2024-09-04 03:17:26.111542,Status Change
T0004514,Open,2025-10-10 18:03:48.524794,Created
T0002325,Open,2025-02-23 03:29:48.524794,created 
T0001270,Pending User,2024-11-07 11:29:37.283280,Status Change
T0001084,Resolved,2024-10-20 06:20:10.680049,Status Change
T0000062,Pending User,2024-07-07 02:15:14.848764,Status Change
T0002032,Open,2025-01-25 20:01:48.524794,Created
T0003949,Open,2025-08-12 04:33:48.524794,Created
T0000203,Open,2024-07-20 19:51:48.524794,Created
T0002291,Closed,2025-02-19 15:20:37.813446,Closed
T0000677,In Progress,2024-09-07 20:03:38.679708,Status Change
T0002681,Closed,2025-04-02 16:02:13.029662,Closed
T0004057,Closed,2025-08-24 09:34:15.084451,Closed
T0000058,In Progress,2024-07-06 17:36:10.141118,Status Change
T0001938,Open,2025-01-16 09:49:48.524794,Assigned
T0004590,Pending User,2025-10-19 19:20:46.372094,Status Change
T0001709,Closed,2024-12-24 11:28:36.940271,Closed
T0002579,Closed,2025-03-23 10:03:02.124414,Closed
T0004445,Open,2025-10-03 04:20:48.524794,Created
T0001902,Resolved,2025-01-15 00:20:12.546761,Status Change
T0003211,Open,2025-05-27 02:23:48.524794,Created
T0003347,Open,2025-06-10 09:54:48.524794,Created
T0002564,Closed,2025-03-23 04:01:58.130594,Closed
T0004606,Open,2025-10-19 08:55:48.524794,Created
T0001235,Closed,2024-11-03 05:12:58.792026,Closed
T0002451,Resolved,2025-03-12 11:08:01.268726,Status Change
T0003007,resolved,2025-05-08 23:54:16.501181,Status Change
T0003842,Open,2025-07-31 20:45:48.524794,Assigned
T0000058,Open,2024-07-06 01:17:48.524794,Assigned
T0002362,IN PROGRESS,2025-02-27 14:40:50.752567,Status Change
T0000431,Open,2024-08-10 12:46:48.524794,Created
T0005025,Open,2025-12-03 14:40:48.524794,Assigned
T0001525,Closed,2024-12-04 09:34:09.391267,Closed
T0000093,In progress,2024-07-12 08:42:13.425980,Status Change
T0000949,Open,2024-10-03 10:51:48.524794,Assigned
T0003889,In Progress,2025-08-06 06:58:46.580876,Status Change
T0004769,Open,2025-11-06 23:56:48.524794,Created
T0001090,Open,2024-10-18 11:20:48.524794,Assigned
T0004042,Closed,2025-08-22 02:06:01.095751,Closed
T0002041,Open,2025-01-27 04:29:48.524794,Created
T0002013,Resolved,2025-01-27 09:53:35.405377,Status Change
T0002872,Pending User,2025-04-23 20:52:50.958850,Status Change
T0000816,Closed,2024-09-20 20:14:06.056223,Closed
T0003941,Resolved,2025-08-12 06:10:00.256286,Status Change
T0000831,Pending User,2024-09-22 01:47:28.177952,Status Change
T0001372,Pending User,2024-11-18 15:57:20.954582,Status Change
T0002952,Closed,2025-05-02 07:57:13.942916,Closed
T0004883,In Progress,2025-11-20 18:16:20.154572,Status Change
T0004587,Open,2025-10-17 10:27:48.524794,Assigned
T0003754,Resolved,2025-07-23 12:17:58.119116,Status Change
T0000507,Closed,2024-08-18 06:17:12.009642,Closed
T0002795,Open,2025-04-16 07:26:48.524794,Assigned
T0003203,Open,2025-05-26 11:23:48.524794,Assigned
T0002049,Open,2025-01-27 19:07:48.524794,Assigned
T0000146,Pending User,2024-07-16 02:40:41.543976,Status Change
T0002396,In Progress,2025-03-03 15:36:56.953568,Reassigned
T0003570,Resolved,2025-07-02 14:19:01.373816,Status Change
T0001889,In Progress,2025-01-11 02:32:33.534841,Reassigned
T0000681,Resolved,2024-09-07 04:35:00.081372,Status Change
T0003217,Open,2025-05-27 18:34:48.524794,Created
T0002944,In Progress,2025-05-02 00:53:17.312976,Status Change
T0004153,Resolved,2025-09-03 21:34:43.010521,Status Change
T0005184,Open,2025-12-19 19:15:48.524794,Assigned
T0000619,Resolved,2024-09-01 01:48:26.750317,Status Change
T0001631,Closed,2024-12-15 21:22:08.053934,Closed
T0003378,Closed,2025-06-13 14:54:18.117581,Closed
T0000310,Open,2024-07-30 18:58:48.524794,Created
T0002894,Open,2025-04-25 21:49:48.524794,Assigned
T0004425,Open,2025-09-30 16:55:48.524794,Created
T0002497,Pending User,2025-03-14 09:46:04.818888,Status Change
T0004172,Open,2025-09-05 13:10:48.524794,Created
T0002178,In Progress,2025-02-09 06:04:15.911666,Status Change
T0003369,Open,2025-06-12 11:47:48.524794,Assigned
T0005049,PENDING USER,2025-12-06 17:07:13.865378,Status Change
T0002943,Open,2025-05-01 04:08:48.524794,Assigned
T0002313,Closed,2025-02-22 11:58:33.244791,Closed
T0002794,Open,2025-04-16 06:48:48.524794,Assigned 
T0004910,Resolved,2025-11-24 20:17:09.413022,Status Change
T0000281,Open,2024-07-28 02:51:48.524794,Assigned
T0003566,Open,2025-07-01 07:35:48.524794,Assigned
T0001767,Closed,2024-12-30 12:38:18.646263,Closed
T0003321,Open,2025-06-06 23:48:48.524794,Created
T0002438,Open,2025-03-07 02:51:48.524794,Assigned
T0002468,In Progress,2025-03-11 16:50:20.756545,Status Change
T0000109,Open,2024-07-11 10:21:48.524794,Assigned
T0002624,Open,2025-03-28 01:22:48.524794,Assigned
T0004463,Open,2025-10-05 15:20:48.524794,Created
T0002167,Open,2025-02-07 01:02:48.524794,Assigned
T0004328,In Progress,2025-09-23 07:34:00.186906,Status Change
T0003210,Open,2025-05-27 03:13:48.524794,Assigned
T0002947,Pending User,2025-05-03 11:59:38.656162,Status Change
T0004452,Resolved,2025-10-05 05:40:01.791071,Status Change
T0001760,In Progress,2025-01-01 00:07:59.353453,Status Change
T0001540,Closed,2024-12-05 17:28:48.244334,Closed
T0001652,Pending User,2024-12-18 05:03:07.246433,Status Change
T0001211,Closed,2024-11-01 03:46:03.925009,Closed
